Text (Indonesia),Text (English)
Budi punya {a} kelereng. Ayah membelikannya {b} kelereng lagi. Berapa jumlah kelereng Budi sekarang?,Budi has {a} marbles. His father buys him {b} more marbles. How many marbles does Budi have now?
"Ani memiliki {a} boneka. Saat ulang tahun, ia mendapat hadiah {b} boneka lagi. Berapa boneka Ani sekarang?","Ani has {a} dolls. On her birthday, she gets {b} more dolls as a gift. How many dolls does Ani have now?"
Edo membawa {a} mobil-mobilan ke taman. Udin membawa {b} mobil-mobilan. Berapa jumlah mobil-mobilan mereka berdua?,Edo brings {a} toy cars to the park. Udin brings {b} toy cars. How many toy cars do they have in total?
Siti punya {a} bola karet. Lani memberinya {b} bola karet lagi. Berapa banyak bola karet Siti?,Siti has {a} rubber balls. Lani gives her {b} more rubber balls. How many rubber balls does Siti have?
Di kotak mainan ada {a} blok lego. Adik memasukkan {b} blok lego lagi. Berapa jumlah lego di dalam kotak sekarang?,There are {a} Lego blocks in the toy box. Her younger sibling puts in {b} more Lego blocks. How many Lego blocks are there in the box now?
Doni memiliki {a} layang-layang. Kakak membuatkan {b} layang-layang lagi untuknya. Berapa layang-layang Doni sekarang?,Doni has {a} kites. His older brother makes {b} more kites for him. How many kites does Doni have now?
Rara mengumpulkan {a} stiker bintang. Ibu memberinya {b} stiker bintang lagi. Berapa stiker Rara sekarang?,Rara collected {a} star stickers. Her mother gives her {b} more star stickers. How many stickers does Rara have now?
Rudi punya {a} robot mainan. Ayah membelikannya {b} robot mainan lagi. Berapa jumlah robot Rudi semuanya?,Rudi has {a} toy robots. Father buys him {b} more toy robots. How many robots does Rudi have in total?
Dina meniup {a} balon merah dan {b} balon biru. Berapa jumlah semua balon Dina?,Dina blows up {a} red balloons and {b} blue balloons. How many balloons does Dina have in total?
Tono punya {a} kartu bergambar. Temannya memberi {b} kartu lagi. Berapa kartu Tono sekarang?,Tono has {a} picture cards. His friend gives him {b} more cards. How many cards does Tono have now?
Bima memiliki {a} gasing. Ayah membelikannya {b} gasing baru. Berapa banyak gasing Bima?,Bima has {a} spinning tops. His father buys him {b} new spinning tops. How many spinning tops does Bima have?
Rani menyusun {a} manik-manik merah dan {b} manik-manik kuning menjadi gelang. Berapa jumlah manik-manik Rani?,Rani strings {a} red beads and {b} yellow beads into a bracelet. What is the total number of beads Rani has?
Gilang punya {a} yoyo. Paman membelikannya {b} yoyo lagi. Berapa jumlah yoyo Gilang sekarang?,Gilang has {a} yoyos. His uncle buys him {b} more yoyos. How many yoyos does Gilang have now?
Fani punya {a} mainan puzzle. Kakek memberinya {b} mainan puzzle lagi. Berapa jumlah puzzle Fani?,Fani has {a} puzzle toys. Grandfather gives her {b} more puzzle toys. How many puzzles does Fani have?
Nisa memiliki {a} boneka beruang. Bibi membelikannya {b} boneka lagi. Berapa boneka Nisa sekarang?,Nisa has {a} teddy bears. Her aunt buys her {b} more teddy bears. How many teddy bears does Nisa have now?
"Edo makan {a} biskuit manis. Karena masih lapar, ia makan {b} biskuit lagi. Berapa biskuit yang dimakan Edo?","Edo eats {a} sweet biscuits. Because he is still hungry, he eats {b} more biscuits. How many biscuits does Edo eat?"
Ani membeli {a} permen rasa jeruk dan {b} permen rasa stroberi. Berapa permen Ani semuanya?,Ani buys {a} orange-flavored candies and {b} strawberry-flavored candies. How many candies does Ani have in total?
Budi membawa {a} donat ke sekolah. Temannya memberinya {b} donat lagi. Berapa donat Budi sekarang?,Budi brings {a} donuts to school. His friend gives him {b} more donuts. How many donuts does Budi have now?
Paman membelikan {a} es krim rasa stroberi dan {b} es krim cokelat. Berapa jumlah es krim semuanya?,Uncle buys {a} strawberry ice creams and {b} chocolate ice creams. What is the total number of ice creams?
Ibu membuat {a} kue cokelat dan {b} kue keju. Berapa total kue yang dibuat ibu?,Mother bakes {a} chocolate cakes and {b} cheese cakes. What is the total number of cakes mother baked?
Di toples ada {a} kue nastar. Ibu menaruh {b} kue nastar lagi. Berapa kue nastar di dalam toples?,There are {a} nastar cookies in the jar. Mother puts in {b} more nastar cookies. How many nastar cookies are in the jar?
Lita memakan {a} biskuit stroberi dan {b} biskuit cokelat. Berapa biskuit yang dimakan Lita?,Lita eats {a} strawberry biscuits and {b} chocolate biscuits. How many biscuits does Lita eat?
Di kotak bekal ada {a} potong roti. Ibu menambahkan {b} potong roti lagi. Berapa potong roti di kotak bekal?,In the lunchbox there are {a} slices of bread. Mother adds {b} more slices of bread. How many slices of bread are in the lunchbox?
Ibu membeli {a} apel manis. Ayah pulang membawa {b} apel lagi. Berapa jumlah apel semuanya?,Mother buys {a} sweet apples. Father comes home bringing {b} more apples. What is the total number of apples?
Lani memetik {a} buah jeruk di kebun. Kakek memetik {b} jeruk lagi. Berapa jeruk yang terkumpul?,Lani picks {a} oranges in the garden. Grandfather picks {b} more oranges. How many oranges are collected?
Edo memakan {a} stroberi. Kemudian ia memakan {b} stroberi lagi. Berapa stroberi yang dimakan Edo?,Edo eats {a} strawberries. Then he eats {b} more strawberries. How many strawberries does Edo eat?
Siti membeli {a} buah pisang. Adik meminta ibu membelikan {b} pisang lagi. Berapa total pisang mereka?,Siti buys {a} bananas. Her younger sibling asks mother to buy {b} more bananas. What is their total number of bananas?
Beni membawa {a} buah kelengkeng. Temannya memberi {b} kelengkeng lagi. Berapa kelengkeng Beni?,Beni brings {a} longans. His friend gives him {b} more longans. How many longans does Beni have?
"Rio makan {a} potong buah melon, lalu minta tambah {b} potong melon lagi. Berapa melon yang dimakan Rio?","Rio eats {a} slices of melon, then asks for {b} more slices of melon. How many slices of melon does Rio eat?"
"Budi memasukkan {a} salak ke dalam kantong, lalu memasukkan {b} salak lagi. Berapa salak di kantong Budi?","Budi puts {a} snake fruits into a bag, then puts in {b} more snake fruits. How many snake fruits are in Budi's bag?"
Ani punya {a} pensil. Ibu membelikannya {b} pensil baru. Berapa jumlah pensil Ani sekarang?,Ani has {a} pencils. Her mother buys her {b} new pencils. How many pencils does Ani have now?
Budi memiliki {a} buku tulis. Ayah memberinya {b} buku tulis lagi. Berapa buku tulis Budi semuanya?,Budi has {a} notebooks. His father gives him {b} more notebooks. How many notebooks does Budi have in total?
Di tempat pensil ada {a} penghapus. Kakak memasukkan {b} penghapus lagi. Berapa jumlah penghapus?,There are {a} erasers in the pencil case. Her older sibling puts in {b} more erasers. How many erasers are there in total?
Edo membawa {a} spidol warna merah dan {b} spidol warna biru. Berapa jumlah spidol Edo?,Edo brings {a} red markers and {b} blue markers. How many markers does Edo have?
Siti punya {a} krayon merah. Ia membeli {b} krayon biru. Berapa jumlah krayon Siti?,Siti has {a} red crayons. She buys {b} blue crayons. How many crayons does Siti have in total?
Guru membagikan {a} kertas lipat warna merah dan {b} kertas lipat warna kuning. Berapa total kertas lipat?,The teacher hands out {a} red origami papers and {b} yellow origami papers. What is the total number of origami papers?
Andi punya {a} rautan pensil. Ia membeli {b} rautan lagi. Berapa rautan pensil Andi?,Andi has {a} pencil sharpeners. He buys {b} more pencil sharpeners. How many pencil sharpeners does Andi have?
Nisa membawa {a} buku cerita anak. Di perpustakaan ia meminjam {b} buku cerita lagi. Berapa buku Nisa sekarang?,Nisa brings {a} children's storybooks. In the library she borrows {b} more storybooks. How many books does Nisa have now?
"Tono menempel {a} stiker nama di bukunya, lalu menempel {b} stiker lagi. Berapa stiker yang ditempel Tono?","Tono pastes {a} name stickers on his book, then he pastes {b} more stickers. How many stickers does Tono paste?"
Rini memiliki {a} kuas lukis. Paman membelikannya {b} kuas lukis baru. Berapa kuas Rini?,Rini has {a} paintbrushes. Her uncle buys her {b} new paintbrushes. How many paintbrushes does Rini have?
Dina melipat {a} pesawat kertas. Edo melipat {b} pesawat kertas. Berapa mainan kertas mereka berdua?,Dina folds {a} paper airplanes. Edo folds {b} paper airplanes. How many paper toys do they have together?
Beni mewarnai {a} gambar mobil dan {b} gambar motor. Berapa jumlah gambar yang diwarnai Beni?,Beni colors {a} pictures of cars and {b} pictures of motorcycles. How many pictures does Beni color?
Sinta membawa {a} botol minum ke sekolah. Kakaknya menitipkan {b} botol minum lagi. Berapa botol minum yang dibawa Sinta?,Sinta brings {a} water bottles to school. Her older sibling entrusts her with {b} more water bottles. How many water bottles does Sinta bring?
Di laci meja ada {a} pulpen hitam dan {b} pulpen biru. Berapa jumlah pulpen di dalam laci?,"In the desk drawer, there are {a} black pens and {b} blue pens. How many pens are in the drawer?"
"Lani punya {a} jepit kertas, lalu ia menemukan {b} jepit kertas lagi di lantai kelas. Berapa jepit kertas Lani?","Lani has {a} paper clips, then she finds {b} more paper clips on the classroom floor. How many paper clips does Lani have?"
Di kolam peliharaan ada {a} ikan hias. Paman memasukkan {b} ikan hias lagi. Berapa jumlah ikan di kolam?,There are {a} ornamental fish in the pet pond. Uncle puts in {b} more ornamental fish. How many fish are in the pond?
Lani memelihara {a} kelinci putih dan {b} kelinci cokelat. Berapa jumlah kelinci Lani semuanya?,Lani keeps {a} white rabbits and {b} brown rabbits as pets. What is the total number of rabbits Lani has?
Edo melihat {a} kupu-kupu hinggap di bunga. Lalu terbang datang {b} kupu-kupu lagi. Berapa jumlah kupu-kupu sekarang?,Edo sees {a} butterflies landing on the flowers. Then {b} more butterflies fly over. How many butterflies are there now?
Kakek memelihara {a} ekor ayam. Paman memberi kakek {b} ekor ayam lagi. Berapa ekor ayam kakek sekarang?,Grandfather raises {a} chickens. Uncle gives grandfather {b} more chickens. How many chickens does grandfather have now?
"Dina melihat {a} katak melompat di pinggir sungai, lalu melihat {b} katak lagi. Berapa katak yang dilihat Dina?","Dina sees {a} frogs jumping by the river, then sees {b} more frogs. How many frogs does Dina see?"
Rini punya {a} ikan cupang di akuarium kecil. Ayah membelikannya {b} ikan cupang lagi. Berapa ikan cupang Rini?,Rini has {a} betta fish in a small aquarium. Her father buys her {b} more betta fish. How many betta fish does Rini have?
"Di kebun binatang, Edo melihat {a} anak gajah dan {b} gajah dewasa. Berapa jumlah gajah tersebut?","At the zoo, Edo sees {a} baby elephants and {b} adult elephants. How many elephants are there in total?"
Kucing Budi melahirkan {a} anak kucing berbulu hitam dan {b} anak kucing berbulu putih. Berapa anak kucing Budi?,Budi's cat gave birth to {a} black kittens and {b} white kittens. How many kittens does Budi have?
Di atap rumah ada {a} burung merpati. Kemudian terbang datang {b} burung merpati lagi. Berapa burung merpati di atap?,On the roof there are {a} doves. Then {b} more doves fly in. How many doves are on the roof?
Terdapat {a} ekor semut sedang berjalan di dinding. Datang {b} ekor semut lagi menyusul. Berapa jumlah semut di dinding?,There are {a} ants walking on the wall. {b} more ants follow. How many ants are on the wall in total?
Lani punya {a} jepit rambut merah jambu. Ibu membelikannya {b} jepit rambut biru. Berapa jepit rambut Lani?,Lani has {a} pink hair clips. Her mother buys her {b} blue hair clips. How many hair clips does Lani have?
Di lemari pakaian ada {a} kemeja Budi. Ibu menaruh {b} kemeja bersih lagi. Berapa kemeja Budi di lemari sekarang?,There are {a} of Budi's shirts in the closet. Mother puts in {b} more clean shirts. How many shirts does Budi have in the closet now?
Siti mencuci {a} pasang kaus kaki sekolah dan {b} pasang kaus kaki main. Berapa pasang kaus kaki yang dicuci Siti?,Siti washes {a} pairs of school socks and {b} pairs of play socks. How many pairs of socks does Siti wash?
"Edo punya {a} topi kesayangan. Saat liburan, ia dibelikan {b} topi lagi. Berapa topi Edo sekarang?","Edo has {a} favorite hats. During the holidays, he was bought {b} more hats. How many hats does Edo have now?"
Bima punya {a} jaket tebal. Ayah membelikannya {b} jaket baru. Berapa jumlah jaket Bima?,Bima has {a} thick jackets. His father buys him {b} new jackets. How many jackets does Bima have?
"Ibu mencuci {a} piring kotor bekas makan, lalu mencuci {b} piring lagi. Berapa jumlah piring yang dicuci ibu?","Mother washes {a} dirty plates from eating, then washes {b} more plates. How many plates does mother wash?"
Rara merapikan {a} pasang sepatu sekolah dan {b} pasang sepatu main di rak sepatu. Berapa pasang sepatu yang dirapikan Rara?,Rara organizes {a} pairs of school shoes and {b} pairs of play shoes on the shoe rack. How many pairs of shoes does Rara organize?
"Ani merapikan {a} bantal di atas kasur, lalu merapikan {b} bantal di sofa. Berapa bantal yang dirapikan Ani?","Ani arranges {a} pillows on the bed, then arranges {b} pillows on the sofa. How many pillows does Ani arrange?"
Siti menyiram {a} pot bunga melati. Adik membantunya menyiram {b} pot bunga mawar. Berapa pot bunga yang disiram mereka?,Siti waters {a} pots of jasmine flowers. Her younger sibling helps her water {b} pots of rose flowers. How many flower pots do they water?
Udin menyetrika {a} celana panjang dan {b} celana pendek seragam. Berapa celana yang disetrika Udin?,Udin irons {a} long pants and {b} short uniform pants. How many pants does Udin iron?
