Soal (Indonesia),Question (English)
"Ibu membeli {a} kotak kue untuk acara keluarga. Jika setiap kotak berisi {b} potong kue, dan kue tersebut akan dibagikan sama rata kepada {c} orang tamu, berapa potong kue yang didapat setiap tamu?","Mother bought {a} boxes of cakes for a family event. If each box contains {b} pieces of cake, and the cakes are to be distributed equally among {c} guests, how many pieces of cake does each guest get?"
"Adik menabung selama {a} hari berturut-turut. Setiap hari ia memasukkan uang sebesar {b} rupiah ke celengannya. Jika total uang tabungan tersebut kemudian dibagi rata untuk dibelikan {c} buah buku tulis, berapa rupiah harga satu buku tulisnya?","Younger sibling saved money for {a} consecutive days. Every day they put {b} rupiah into their piggy bank. If the total savings are then divided equally to buy {c} notebooks, how many rupiah is the price of one notebook?"
"Ayah membeli {a} dus mi instan untuk stok dapur. Setiap dus berisi {b} bungkus mi instan. Jika seluruh mi instan tersebut habis dikonsumsi bersama oleh keluarga dalam waktu {c} minggu dengan jumlah yang sama tiap minggunya, berapa bungkus mi instan yang dihabiskan per minggu?","Father bought {a} boxes of instant noodles for kitchen stock. Each box contains {b} packs of instant noodles. If all the instant noodles are consumed equally by the family over {c} weeks, how many packs of instant noodles are consumed per week?"
"Sebuah warung makan memesan {a} krat telur ayam. Jika setiap krat berisi {b} butir telur, dan telur-telur tersebut akan dibagi habis untuk bahan membuat {c} loyang martabak besar dengan porsi telur yang sama, berapa butir telur yang dibutuhkan untuk satu loyang martabak?","A food stall ordered {a} crates of chicken eggs. If each crate contains {b} eggs, and the eggs are to be used completely to make {c} pans of large martabak with the same portion of eggs, how many eggs are needed for one pan of martabak?"
"Di sebuah acara ulang tahun, panitia menyediakan {a} meja panjang untuk anak-anak. Di setiap meja diletakkan {b} buah gorengan. Jika seluruh gorengan itu dibagikan sama banyak kepada {c} anak yang hadir, berapa buah gorengan yang didapatkan setiap anak?","At a birthday party, the committee provided {a} long tables for children. On each table, {b} fried snacks were placed. If all the fried snacks are distributed equally among the {c} children present, how many fried snacks does each child get?"
"Kakak membeli {a} pack pulpen untuk keperluan kantor. Satu pack berisi {b} batang pulpen. Pulpen tersebut akan dibagikan merata kepada {c} orang karyawan baru. Berapa batang pulpen yang diterima oleh setiap karyawan?","Older sibling bought {a} packs of pens for office needs. One pack contains {b} pens. The pens are to be distributed equally to {c} new employees. How many pens does each employee receive?"
"Sebuah toko kue memajang {a} toples nastar. Masing-masing toples berisi {b} kue nastar. Jika semua kue nastar tersebut ingin dikemas ulang secara merata ke dalam {c} buah kotak bingkisan kecil, berapa kue nastar yang ada di setiap kotak?","A cake shop displays {a} jars of nastar (pineapple tarts). Each jar contains {b} nastar cakes. If all the nastar cakes are to be repackaged equally into {c} small gift boxes, how many nastar cakes will be in each box?"
"Seorang pedagang buah memiliki {a} keranjang mangga. Setiap keranjang berisi {b} buah mangga. Pedagang tersebut ingin membagi seluruh mangga ke dalam {c} buah kantong plastik sama banyak untuk dijual eceran. Berapa buah mangga isi setiap kantong plastik?","A fruit trader has {a} baskets of mangoes. Each basket contains {b} mangoes. The trader wants to divide all the mangoes equally into {c} plastic bags for retail sale. How many mangoes are inside each plastic bag?"
"Ibu mencuci pakaian menggunakan mesin cuci sebanyak {a} kali siklus putaran dalam seminggu. Jika tiap putaran memuat maksimal {b} potong pakaian, dan seluruh pakaian tersebut setelah bersih ditata merata ke dalam {c} susun laci lemari, berapa potong pakaian di setiap susun laci?","Mother washes clothes using the washing machine {a} times a week. If each cycle holds a maximum of {b} pieces of clothing, and all the clean clothes are arranged equally into {c} wardrobe drawers, how many pieces of clothing are in each drawer?"
"Di dalam sebuah sekolah terdapat {a} ruang kelas baru. Setiap kelas disediakan {b} unit meja siswa. Jika seluruh meja tersebut dikirim menggunakan {c} unit mobil boks logistik dengan muatan yang sama rata, berapa unit meja yang diangkut oleh setiap mobil boks?","In a school, there are {a} new classrooms. Each classroom is provided with {b} student desks. If all the desks are delivered using {c} logistics box trucks with equal loads, how many desks are carried by each box truck?"
"Pak Guru membawa {a} kotak kapur tulis ke sekolah. Setiap kotak berisi {b} batang kapur. Jika kapur-kapur tersebut dibagikan sama banyak kepada {c} orang guru kelas, berapa batang kapur tulis yang didapat oleh setiap guru?","The teacher brought {a} boxes of chalk to school. Each box contains {b} sticks of chalk. If the chalks are distributed equally to {c} classroom teachers, how many sticks of chalk does each teacher get?"
"Kakak membeli {a} sisir pisang di pasar untuk dibagikan. Jika setiap sisir terdiri dari {b} buah pisang, dan pisang-pisang tersebut dibagikan merata kepada {c} ekor monyet di kebun binatang, berapa buah pisang yang didapatkan setiap monyet?","Older sibling bought {a} bunches of bananas at the market to share. If each bunch consists of {b} bananas, and the bananas are distributed equally to {c} monkeys at the zoo, how many bananas does each monkey get?"
"Di sebuah rumah makan terdapat {a} buah meja makan besar. Jika setiap meja dilengkapi dengan {b} buah kursi penonton, dan seluruh kursi tersebut akan disusun ulang secara merata ke dalam {c} barisan ruang pertemuan, berapa kursi yang ada di setiap barisnya?","In a restaurant, there are {a} large dining tables. If each table is equipped with {b} chairs, and all the chairs are to be rearranged equally into {c} rows in a meeting room, how many chairs will be in each row?"
"Budi memesan {a} kotak piza ukuran besar untuk pesta kecil. Masing-masing kotak berisi {b} potong piza. Piza tersebut akan dimakan bersama secara merata oleh {c} orang temannya yang datang. Berapa potong piza yang didapatkan oleh setiap orang?","Budi ordered {a} large pizza boxes for a small party. Each box contains {b} slices of pizza. The pizza will be eaten together equally by the {c} friends who come. How many slices of pizza does each person get?"
"Petugas kebersihan kompleks menyiram taman dengan mengambil air menggunakan {a} ember penuh. Volume setiap ember adalah {b} liter. Jika seluruh air tersebut habis digunakan untuk menyiram {c} petak tanaman bunga sama rata, berapa liter air yang didapatkan oleh setiap petak tanaman?","The complex janitor waters the garden by fetching water using {a} full buckets. The volume of each bucket is {b} liters. If all the water is used up to water {c} plots of flower plants equally, how many liters of water does each plant plot get?"
"Kakek membeli suplemen vitamin sebanyak {a} botol. Setiap botol berisi {b} butir kapsul. Jika Kakek berniat menghabiskan seluruh suplemen tersebut dalam waktu {c} hari dengan dosis harian yang sama, berapa butir kapsul yang harus diminum Kakek setiap harinya?","Grandfather bought {a} bottles of vitamin supplements. Each bottle contains {b} capsules. If Grandfather intends to finish all the supplements within {c} days with the same daily dose, how many capsules must Grandfather take each day?"
"Seorang anak membeli {a} bungkus permen. Setiap bungkus berisi {b} butir permen. Permen-permen tersebut kemudian dimasukkan dan dibagi rata ke dalam {c} buah kantong kecil untuk dibagikan saat bermain. Berapa butir permen yang ada di setiap kantong kecil?","A child bought {a} packs of candy. Each pack contains {b} candies. The candies are then put and divided equally into {c} small bags to be distributed while playing. How many candies are in each small bag?"
"Ibu membeli {a} ikat bayam di tukang sayur dengan harga setiap ikatnya {b} rupiah. Jika Ibu membayar menggunakan {c} lembar uang kertas pecahan yang sama nilainya dan tidak ada kembalian, berapa rupiah nilai nominal satu lembar uang kertas yang digunakan Ibu?","Mother bought {a} bunches of spinach from the vegetable vendor at a price of {b} rupiah per bunch. If Mother pays using {c} paper banknotes of the exact same value and there is no change, how many rupiah is the nominal value of one banknote used by Mother?"
"Kakak merapikan koleksi buku ceritanya yang berjumlah {a} tumpuk. Masing-masing tumpuk terdiri dari {b} buku. Jika Kakak ingin menyusun semua buku tersebut secara merata ke dalam {c} tingkatan rak buku, berapa kapasitas buku di setiap tingkatan rak?","Older sibling tidied up their collection of storybooks which consists of {a} stacks. Each stack contains {b} books. If they want to arrange all the books equally into {c} tiers of bookshelves, what is the book capacity on each tier?"
"Di sebuah etalase minimarket, petugas merapikan {a} lusin sabun mandi. Satu lusin berisi {b} buah sabun. Sabun-sabun tersebut dipajang merata pada {c} baris etalase. Berapa buah sabun mandi yang ada di setiap baris?","In a minimarket window, the staff organized {a} dozen bars of bath soap. One dozen contains {b} bars of soap. The soaps are displayed equally on {c} display rows. How many bars of bath soap are in each row?"
"Di tempat parkir pusat perbelanjaan, terdapat {a} baris khusus sepeda motor. Setiap baris maksimal bisa menampung {b} sepeda motor. Jika seluruh sepeda motor yang parkir tersebut dipindahkan merata ke {c} area parkir darurat yang baru, berapa motor kapasitas setiap area darurat?","In the shopping center parking lot, there are {a} rows designated for motorcycles. Each row can hold a maximum of {b} motorcycles. If all the parked motorcycles are moved equally to {c} new emergency parking areas, what is the motorcycle capacity of each emergency area?"
"Guru olahraga memerintahkan muridnya melakukan lompat tali. Jika ada {a} kelompok siswa yang masing-masing melakukan lompatan sebanyak {b} kali, dan akumulasi seluruh lompatan tersebut dibagi rata kepada {c} orang siswa sebagai nilai rata-rata, berapa kali lompatan nilai rata-rata satu orang siswa?","The sports teacher ordered the students to do jump rope. If there are {a} groups of students, each performing the jump {b} times, and the accumulation of all jumps is divided equally among {c} students as an average score, how many jumps is the average score for one student?"
"Seorang kurir mengirimkan {a} koli paket ke sebuah gudang logistik. Setiap koli memiliki berat {b} kilogram. Jika seluruh paket tersebut diangkut secara merata menggunakan {c} buah gerobak dorong, berapa kilogram beban paket pada setiap gerobak?","A courier delivered {a} packages to a logistics warehouse. Each package weighs {b} kilograms. If all the packages are transported equally using {c} handcarts, how many kilograms is the package load on each handcart?"
"Sebuah toko alat tulis menjual {a} pak buku tulis. Satu pak berisi {b} buku. Jika seluruh buku tulis tersebut dibeli secara kolektif oleh {c} orang siswa dengan iuran sama banyak, berapa buah buku tulis yang diperoleh setiap siswa?","A stationery shop sells {a} packs of notebooks. One pack contains {b} books. If all the notebooks are bought collectively by {c} students with equal contributions, how many notebooks does each student get?"
"Panitia arisan keluarga menyediakan {a} kotak makanan (snack box). Setiap kotak berisi {b} macam kue. Jika semua kue dikeluarkan dan dibagi merata ke dalam {c} piring besar di atas meja, berapa macam kue yang ada di setiap piring?","The family gathering committee provided {a} snack boxes. Each box contains {b} types of cakes. If all the cakes are taken out and divided equally into {c} large plates on the table, how many types of cakes are on each plate?"
"Barista kedai kopi meracik {a} teko besar es kopi susu. Setiap teko membutuhkan {b} mililiter sirup gula aren. Jika seluruh kopi dari teko tersebut dituangkan sama rata ke dalam {c} gelas pesanan pelanggan, berapa mililiter sirup gula yang terkandung dalam setiap gelas?","The coffee shop barista mixed {a} large pots of iced coffee milk. Each pot requires {b} milliliters of palm sugar syrup. If all the coffee from the pots is poured equally into {c} glasses ordered by customers, how many milliliters of sugar syrup are contained in each glass?"
"Ibu membeli {a} papan telur ayam di supermarket. Setiap papan berisi {b} butir telur. Telur-telur tersebut digunakan habis untuk membuat kue sebanyak {c} adonan dengan takaran yang sama. Berapa butir telur yang dibutuhkan untuk setiap adonan kue?","Mother bought {a} trays of chicken eggs at the supermarket. Each tray contains {b} eggs. The eggs are completely used to make {c} batches of cake batter with the same measurement. How many eggs are needed for each cake batter?"
"Untuk acara makan malam bersama, Bibi memasak {a} ekor ayam utuh. Setiap ekor ayam dipotong menjadi {b} bagian. Jika seluruh potongan ayam goreng tersebut disajikan merata di atas {c} piring saji, berapa banyak potongan ayam yang tersedia di setiap piring?","For a dinner gathering, Aunt cooked {a} whole chickens. Each chicken is cut into {b} pieces. If all the fried chicken pieces are served equally on {c} serving plates, how many pieces of chicken are available on each plate?"
"Kakak menempelkan prangmo pada {a} lembar surat koleksi. Setiap lembar membutuhkan {b} buah prangmo. Jika seluruh prangmo tersebut diambil merata dari {c} buah lembar lembar koleksi prangmo baru (sheet), berapa buah prangmo yang diambil dari setiap sheet?","Older sibling stuck stamps on {a} sheets of collection letters. Each sheet requires {b} stamps. If all the stamps are taken equally from {c} sheets of new stamp collection sheets, how many stamps are taken from each sheet?"
"Sebuah bus kota memiliki {a} baris kursi penumpang. Setiap baris terdiri dari {b} kursi. Jika seluruh kapasitas kursi tersebut dibagi merata untuk {c} rombongan studi banding, berapa kursi jatah untuk masing-masing rombongan?","A city bus has {a} rows of passenger seats. Each row consists of {b} seats. If the entire seat capacity is divided equally for {c} study tour groups, how many seats are allotted for each group?"
"Di sebuah ruang pertemuan, panitia menyusun {a} deret kursi untuk peserta. Setiap deret disediakan {b} buah kursi. Jika seluruh kursi itu akan dipindahkan merata ke dalam {c} ruangan kelas yang lebih kecil, berapa kursi yang didapat setiap kelas?","In a meeting room, the committee arranged {a} rows of chairs for participants. Each row is provided with {b} chairs. If all the chairs are to be moved equally into {c} smaller classrooms, how many chairs does each class get?"
"Adik menyusun balok mainan menjadi {a} buah menara. Setiap menara terdiri dari {b} balok kecil. Jika adik ingin membongkar seluruh menara tersebut dan menyusun baloknya kembali menjadi {c} buah robot mainan sama besar, berapa balok kecil yang dibutuhkan untuk membuat satu robot?","Younger sibling assembled toy blocks into {a} towers. Each tower consists of {b} small blocks. If they want to dismantle all the towers and reassemble the blocks into {c} identical toy robots, how many small blocks are needed to make one robot?"
"Petani memanen sawi dan memasukkannya ke dalam {a} keranjang bambu. Tiap keranjang memuat {b} ikat sawi. Seluruh hasil panen tersebut dibeli merata oleh {c} orang pedagang sayur keliling. Berapa ikat sawi yang dibeli oleh setiap pedagang sayur?","A farmer harvested spinach and put them into {a} bamboo baskets. Each basket holds {b} bunches of spinach. The entire harvest was bought equally by {c} mobile vegetable vendors. How many bunches of spinach were bought by each vendor?"
"Seorang penjahit menerima pesanan pembuatan {a} kemeja seragam sekolah. Setiap kemeja membutuhkan {b} buah kancing baju. Kancing-kancing tersebut diambil habis secara merata dari {c} kotak penyimpanan kancing. Berapa buah kancing yang diambil dari setiap kotak?","A tailor received an order to make {a} school uniform shirts. Each shirt requires {b} clothing buttons. The buttons are taken completely and equally from {c} button storage boxes. How many buttons are taken from each box?"
"Paman menaikkan {a} tumpuk genteng baru ke atas atap rumah. Setiap tumpuk berisi {b} buah genteng tanah liat. Genteng tersebut dipasang rata pada {c} sisi atap rumah. Berapa buah genteng yang terpasang di setiap sisi atap?","Uncle raised {a} stacks of new roof tiles onto the house roof. Each stack contains {b} clay roof tiles. The tiles are installed equally on {c} sides of the house roof. How many roof tiles are installed on each side?"
"Tante membuat bingkisan parsel sebanyak {a} keranjang untuk hari raya. Setiap keranjang diisi dengan {b} botol sirup rasa jeruk. Jika seluruh botol sirup tersebut dibeli merata dari {c} buah grosir toko kelontong, berapa botol sirup yang dibeli dari setiap grosir?","Aunt made {a} gift baskets for the holiday. Each basket is filled with {b} bottles of orange-flavored syrup. If all the syrup bottles were bought equally from {c} grocery wholesalers, how many bottles of syrup were bought from each wholesaler?"
"Bibi menata koleksi sepatunya ke dalam {a} buah rak sepatu. Setiap rak memiliki {b} susun laci yang masing-masing memuat satu pasang sepatu. Jika seluruh pasang sepatu itu ingin ditata ulang merata ke dalam {c} lemari kaca yang baru, berapa pasang sepatu yang muat di setiap lemari kaca?","Aunt arranged her shoe collection into {a} shoe racks. Each rack has {b} tiers of drawers, each holding one pair of shoes. If all the pairs of shoes are to be rearranged equally into {c} new glass cabinets, how many pairs of shoes will fit in each glass cabinet?"
"Sebuah perkebunan kelapa sawit memanen {a} blok lahan. Setiap blok menghasilkan {b} tandan buah segar. Jika seluruh tandan buah sawit dipindahkan menggunakan {c} armada truk logistik dengan muatan yang sama, berapa tandan buah sawit yang diangkut setiap truk?","A palm oil plantation harvested {a} blocks of land. Each block produces {b} fresh fruit bunches. If all the palm fruit bunches are moved using {c} fleets of logistics trucks with equal loads, how many palm fruit bunches are carried by each truck?"
"Koki di restoran memesan {a} krat telur ayam matang. Setiap krat berisi {b} butir telur. Telur-telur tersebut dialokasikan sama rata untuk hidangan pendamping {c} porsi nasi goreng spesial. Berapa butir telur yang menjadi hiasan di setiap porsi nasi goreng?","The chef at the restaurant ordered {a} crates of cooked chicken eggs. Each crate contains {b} eggs. The eggs are allocated equally as side dishes for {c} portions of special fried rice. How many eggs garnish each portion of fried rice?"
"Perusahaan membagikan paket sembako kepada {a} divisi operasional. Setiap divisi rata-rata mempekerjakan {b} karyawan yang masing-masing mendapat satu paket. Jika seluruh paket tersebut disiapkan merata oleh {c} orang staf HRD, berapa paket sembako yang harus disiapkan oleh setiap staf?","The company distributed basic food packages to {a} operational divisions. Each division employs an average of {b} employees, each receiving one package. If all the packages are prepared equally by {c} HRD staff members, how many packages must be prepared by each staff member?"
